@relation 10-spell-checked.arff

@attribute id numeric
@attribute color {x,black,'dark gray','light gray',white}
@attribute text string
@attribute score {0,1,2}

@data
25949,black,'black might affect the doghouse because then the doghouse can get to hot for the dog. iknow this because in the resul ts black got the hottest.',2
25950,white,'White because you wouldn\'t want the dog to ge t to hot.',1
25951,white,'the color white will reflect the suns rays of f of it because in the lab the color white had the lowest tempeture, and black absorbed the heat so it was hotter and if they had the doghouse paint.d black the dog would get to hot and die. so white',2
25952,white,'this color will keep the doghouse cooler inside because it doesn\'t heat up as fast. the average time for the glass to heat up was 42 degrees in 10 minutes.',1
25953,white,'I would use a light color like White in this case because if its 95 degrees outside and you have a black doghouse the doghouse is going to be hot.Like in the experiment they used they used a black lid because it would make the jar the hotest.',2
25954,'light gray','The darker of color the , the hoter it g ets',0
25955,'light gray','i think it will affect it by the doghouse atrackting heat and if neede they could paint it another color when it gets colder of warmer',1
25956,black,'the color would absorb more heat from the sun making it hotter in the doghouse',1
25957,'light gray','i chose light gray because i was thinking of temperatures of the seasons. in summer the light gray will reflect some o f the heat while keeping it alittle warm inside, in winter the light gray will absorb alittle of the sun light making it alittle warm inside .',1
25958,white,'It will keep the doghouse cool and not to hot because in the table a black lid had an average of 58 degrees and the white lid had an avenge of 42 degrees. There for if the doghouse was paint.d a darker color the doghouse would get to hot inside.',2
25959,black,'The black colored doghouse would be warmer on the inside. The average temperature with the black lid was 53 degrees , the average temperature for the dark gray lid was 48 degrees . The average temperature for the light gray was 45 degrees  and for the white it was 42 degrees  . There is a 11 degrees  difference between the black and white colored lid. So the black doghouse would have the most heat on the inside.',2
25960,white,'the color white will reflect the sunlight just like the white lid reflected the light from the lamp in the experiment.',0
25961,white,'it would reflect a lot of the light and heat making it cooler inside the doghouse.',1
25962,white,'it will give the dog more cool air because light.r colors absorb cool air instead of heat',1
25963,black,'Well the darker the lid is the more tempayure goes into the jar. and the average of the black lid was 53 degrees C.',1
25964,white,'they would want to choose white for the summer because it wont attract alot of heat. they would want to use black for the winter to attract more heat',0
25965,'dark gray','All choosable colors are waht you might call a \'double edged sword\' because, altough the dark colors will keep the dog warm in winter, it\'ll make him to hot in summer. And while the light color. will keep him cool in summer, they wont do much for him in winter.',0
25966,black,'it will keep the inside of the doghouse warm er',1
25967,'light gray','Light Gray Is The Best Color To Use Because I taels Is That Dark Of A Color So The Dog Wont Burn Up(Darker Color=Increa se In Heat Tempeture)And Not That Light That The Dog Would Be Cold.',1
25968,white,'Brandi and Jerry should use white paint because in the experiment, the jar with the white lid increased the least in temperature. It increased 18 degrees C while the black lid made the temperature increase 29 degrees C. Therefore, the white paint should be used so that the doghouse doesn\'t overheat.',2
25969,white,'The color white would affect the doghouse it so it may be cooler inside because of the lack in absorbing energy.',1
25970,'light gray','on cold days the light gray absorbs the hotte r temp. and on hot days it douse not absorb as much.',0
25971,white,'The best color to paint the doghouse would b e white. White reflects more light than black. This would keep the inside temperature of the doghouse cooler than it would if the doghouse were painted black. In the experiment, the white lid was at an average of 11 degrees  C cooler than the jar with the black lid. Therefore, the white would be the bes t color to paint the doghouse.',2
25972,'light gray','the doghouse should be light gray because it does not absorb to much heat or to little heat so the dog won\'t be to hot or to cold it will be just right',1
25973,white,'If they colored the doghouse white then it wi ll be cool inside and not so hot like it would be if it was black. Because when the jar lid was black the inside of the jar was 53 degrees C an d when it was white the inside of the jar was 42 degrees C',2
25974,'dark gray','The air inside will be hotter than it would b e with the light gray and white as the roof colors. the dog can stay warm at night but it also be colder than if the black was the roof colors. the dog won\'t get too hot during the day.',1
25975,white,'The color might affect the doghouse just a l ittle bit, because the white color had the lowest temp. compared to the black wich its average was 53. Thats a(n) 11  degrees c diferanc an the dark grey was a(n) 6 degrees c differance. also the light gray was a(n) 3 degrees c differance.',1
25976,black,'It will effect the doghouse by it being more hot cause on the chart it showed black was the hottest',2
